StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
str-msn2700-01,Ethernet0,str-7260-10,Ethernet1,40000,1681,Access,on
str-msn2700-01,Ethernet4,str-7260-10,Ethernet2,40000,1682,Access,on
str-msn2700-01,Ethernet8,str-7260-10,Ethernet3,40000,1683,Access,on
str-msn2700-01,Ethernet12,str-7260-10,Ethernet4,40000,1684,Access,on
str-msn2700-01,Ethernet16,str-7260-10,Ethernet5,40000,1685,Access,on
str-msn2700-01,Ethernet20,str-7260-10,Ethernet6,40000,1686,Access,on
str-msn2700-01,Ethernet24,str-7260-10,Ethernet7,40000,1687,Access,on
str-msn2700-01,Ethernet28,str-7260-10,Ethernet8,40000,1688,Access,on
str-msn2700-01,Ethernet32,str-7260-10,Ethernet9,40000,1689,Access,on
str-msn2700-01,Ethernet36,str-7260-10,Ethernet10,40000,1690,Access,on
str-msn2700-01,Ethernet40,str-7260-10,Ethernet11,40000,1691,Access,on
str-msn2700-01,Ethernet44,str-7260-10,Ethernet12,40000,1692,Access,on
str-msn2700-01,Ethernet48,str-7260-10,Ethernet13,40000,1693,Access,on
str-msn2700-01,Ethernet52,str-7260-10,Ethernet14,40000,1694,Access,on
str-msn2700-01,Ethernet56,str-7260-10,Ethernet15,40000,1695,Access,on
str-msn2700-01,Ethernet60,str-7260-10,Ethernet16,40000,1696,Access,on
str-msn2700-01,Ethernet64,str-7260-10,Ethernet17,40000,1697,Access,on
str-msn2700-01,Ethernet68,str-7260-10,Ethernet18,40000,1698,Access,on
str-msn2700-01,Ethernet72,str-7260-10,Ethernet19,40000,1699,Access,on
str-msn2700-01,Ethernet76,str-7260-10,Ethernet20,40000,1700,Access,on
str-msn2700-01,Ethernet80,str-7260-10,Ethernet21,40000,1701,Access,on
str-msn2700-01,Ethernet84,str-7260-10,Ethernet22,40000,1702,Access,on
str-msn2700-01,Ethernet88,str-7260-10,Ethernet23,40000,1703,Access,off
str-msn2700-01,Ethernet92,str-7260-10,Ethernet24,40000,1704,Access,off
str-msn2700-01,Ethernet96,str-7260-10,Ethernet25,40000,1705,Access,off
str-msn2700-01,Ethernet100,str-7260-10,Ethernet26,40000,1706,Access,off
str-msn2700-01,Ethernet104,str-7260-10,Ethernet27,40000,1707,Access,off
str-msn2700-01,Ethernet108,str-7260-10,Ethernet28,40000,1708,Access,off
str-msn2700-01,Ethernet112,str-7260-10,Ethernet29,40000,1709,Access,on
str-msn2700-01,Ethernet116,str-7260-10,Ethernet30,40000,1710,Access,on
str-msn2700-01,Ethernet120,str-7260-10,Ethernet31,40000,1711,Access,on
str-msn2700-01,Ethernet124,str-7260-10,Ethernet32,40000,1712,Access,on
str-7260-11,Ethernet19,str-acs-serv-01,p4p1,40000,,Trunk,on
str-7260-11,Ethernet30,str-7260-10,Ethernet64,40000,1681-1712,Trunk,on
hw4,ens2f1np1,dut2-fanout,Ethernet512,25000,2100-2122,Trunk,
dut2-fanout,Ethernet256,hw4-dut-01,Ethernet256,25000,,,
dut2-fanout,Ethernet260,hw4-dut-01,Ethernet260,25000,,,
dut2-fanout,Ethernet264,hw4-dut-01,Ethernet264,25000,,,
dut2-fanout,Ethernet268,hw4-dut-01,Ethernet268,25000,,,
dut2-fanout,Ethernet272,hw4-dut-01,Ethernet272,25000,,,
dut2-fanout,Ethernet276,hw4-dut-01,Ethernet276,25000,,,
dut2-fanout,Ethernet280,hw4-dut-01,Ethernet280,25000,,,
dut2-fanout,Ethernet284,hw4-dut-01,Ethernet284,25000,,,
dut2-fanout,Ethernet288,hw4-dut-01,Ethernet288,25000,,,
dut2-fanout,Ethernet292,hw4-dut-01,Ethernet292,25000,,,
dut2-fanout,Ethernet296,hw4-dut-01,Ethernet296,25000,,,
dut2-fanout,Ethernet300,hw4-dut-01,Ethernet300,25000,,,
dut2-fanout,Ethernet304,hw4-dut-01,Ethernet304,25000,,,
dut2-fanout,Ethernet308,hw4-dut-01,Ethernet308,25000,,,
dut2-fanout,Ethernet312,hw4-dut-01,Ethernet312,25000,,,
dut2-fanout,Ethernet316,hw4-dut-01,Ethernet316,25000,,,
dut2-fanout,Ethernet320,hw4-dut-01,Ethernet320,25000,,,
dut2-fanout,Ethernet324,hw4-dut-01,Ethernet324,25000,,,
dut2-fanout,Ethernet328,hw4-dut-01,Ethernet328,25000,,,
dut2-fanout,Ethernet332,hw4-dut-01,Ethernet332,25000,,,
dut2-fanout,Ethernet336,hw4-dut-01,Ethernet336,25000,,,
dut2-fanout,Ethernet340,hw4-dut-01,Ethernet340,25000,,,
dut2-fanout,Ethernet344,hw4-dut-01,Ethernet344,25000,,,
dut2-fanout,Ethernet348,hw4-dut-01,Ethernet348,25000,,,
